곡번호,곡제목,가수,작곡가,작사가
"82960","눈물의 술 (2023)","차성연","심수봉","심수봉"
"80517","마중(2023) (웹툰""낮에 뜨는 달"")","FT아일랜드(FT Island)","Ryosuke Nakanishi","이희승"
"93781","사랑은 가슴이 시킨다 (2023)(드라마""시작은..","이창섭(비투비)","이상준","최갑원"
"80575","사랑하는 법을 몰라서 (2023)","FT아일랜드(FT Island)","Hiroo Yamaguchi","한성호"
"80265","알아요 (2023)","케이씨엠(KCM)","박근태","강은경"
"80521","왜 돌아보오 (2023 Ver.)","이찬원","윤복희","윤복희"
"93043","한 사람만(2023) (영화""여름날 우리"")","이홍기","한승훈","이원기,한성호"
"29926","GODS(League Of Legends: 2023 ..","NewJeans,League..","Kole Hicks,Sebasti..","Kole Hicks,Sebasti.."
"29248","Heaven(2023)(드라마 ""시작은 첫 키스"")","임재현","원상우","강은경"
"29524","Love(2023)(드라마 ""시작은 첫 키스"")","전우성","김준선","김준선"
"56165","... 사랑했잖아... (2024)","고경표","김세진","린"
"80801","시대유감(2024 aespa Remake Ver.)","aespa","서태지","서태지,카리나,비.."
"53455","오늘 헤어졌어요(2024) (드라마""매일 재회해..","케이시","이관","박화요비"
"71591","이별 택시 (2024)","#안녕","김승진","윤종신"
"82664","참 많이 사랑했다 (2024)","순순희","윤지환,미러볼,김..","윤지환,미러볼,김.."
"80609","첫눈처럼 너에게 가겠다 (2024)","로코베리","로코,코난","이미나"
"75599","첫사랑 (2024)","범진","원상우","원태연"
"74825","FOREVER (2024)","전건호,이예은","고성진","하해룡"
"75547","IDFWU (2024ver.)","NO:EL(장용준)","NO:EL(장용준),N..","NO:EL(장용준)"
