곡번호,곡제목,가수,작사가,작곡가,발행월
"54940","ALL FOR YOU","젝스키스","밍지션","FUTURE BOUNCE 1,FUTURE BOUNCE 2,ANDREW CHOI","202001"
"54939","2YA2YAO!","슈퍼주니어","ZICO,POP TIME,DEM JOINTZ","ZICO,POP TIME,DEM JOINTZ","202001"
"54921","Red Shoes","김동완","김동완,민연재","김동완","202001"
"54920","항구의남자","홍잠언","진운,박진복","박성훈","202001"
"54919","겨울","코스믹보이(Feat.선우정아,유라(youra))","유라(YOURA),선우정아","코스믹 보이,유라(YOURA),선우정아","202001"
"54913","나야나","김수찬","양인자","차태일","202001"
"54800","소리쳐봐","김태훈","김태훈","유태준,강혁","202001"
"23485","Know Me Too Well","New Hope Club,Danna Paola","RICHARDSON BLAKE EDWARD,SBIHI HAJAR,VALVERDE JUAREZ BRUNO HERMES,BARKER GRACE 외 5명","RICHARDSON BLAKE EDWARD,SBIHI HAJAR,VALVERDE JUAREZ BRUNO HERMES,BARKER GRACE 외 5명","202001"
"99691","우리서방님","송월","송월","김나윤","202001"
"54933","내마음의사진(사랑의불시착OST)","송가인","남혜승,김경희","남혜승,SURF GREEN 3,SURF GREEN 2","202001"
"54932","혼자","다이나믹듀오,첸(EXO)","최자,개코","PADI(페디),개코,PHILTRE,DHARD","202001"
"54916","S T A R T","창모","창모","창모","202001"
"54915","보릿고개","정동원","진성","김도일","202001"
"54914","사내","영탁","나훈아","나훈아","202001"
"54912","Y","권진아,빅나티(서동현)(Prod.AVIN)","최민호","최지호","202001"
"54911","도망가요","유성은","SOFAR","이상인","202001"
"23484","Good Thing","Zedd,Kehlani","CLEO TIGHE,FIN DOW SMITH,KEHLANI ASHLEY PARRISH,PETER JOHN REES RYCROFT,ANTON ZASLAVSKI","CLEO TIGHE,FIN DOW SMITH,KEHLANI ASHLEY PARRISH,PETER JOHN REES RYCROFT,ANTON ZASLAVSKI","202001"
"99690","희망조종사","이광룡","이광룡","이광룡","202001"
"68150","あゝオオサカdreamin'night(ヒプノシスマイク)","どついたれ本舗","Ｒ－指定","ＤＪ松永","202001"
"68149","コイワズライ","Aimer","AIMERRHYTHM","飛内将大","202001"
"68148","Never Grow Up","ちゃんみな","ちゃんみな","ちゃんみな,Ryosuke ＂Dr.R＂Sakai","202001"
"54925","미친소리","이예준","박강일","박강일","202001"
"54908","Say You Love Me","폴킴(Feat.오늘)","김태형","김태형","202001"
"54907","그대오는날(사랑은뷰티풀인생은원더풀OST)","홍진영","강태규","정우식","202001"
"54906","Not a girl","백예린","백예린","백예린","202001"
"54905","바램","임영웅","김종환","김종환","202001"
"54904","진또배기","이찬원","김학진","송결","202001"
"54903","헤어져야사랑을알죠","스탠딩에그","조은희","황세준","202001"
"99689","사랑은주는거야","문옥","송재철","송순기","202001"
"54918","다그렇지뭐(낭만닥터김사부2 OST)","헤이즈","HEIZE,지훈,전창엽","HEIZE,이승주,최인환","202001"
"54917","Loveship","폴킴,청하","폴킴","폴킴","202001"
"54910","내가많이사랑해요(웹툰'달빛조각사'OST)","이승철","DOKO","DOKO","202001"
"54899","rEALITY","마마무","박우상","박우상","202001"
"54898","바나나차차트로트","금잔디","로빈","로빈","202001"
"54897","NO!","릴러말즈(Feat.수란)","SURAN(수란),릴러말즈 (LEELLAMARZ),세럼","SURAN(수란),TOIL,릴러말즈 (LEELLAMARZ),세럼","202001"
"54896","바나나차차(뽀로로 Ver.)","강은애,여윤미","로빈","로빈","202001"
"23483","Dance Monkey","Tones And I","WATSON TONI","WATSON TONI","202001"
"54893","Airplane Mode","해쉬스완(Feat.릴러말즈)","해쉬스완(HASH SWAN),릴러말즈 (LEELLAMARZ)","TOIL","202001"
"54885","이상해(Strange)","박지훈","김재환,김상빈","김재환,유지상","202001"
"54877","Mixtape: Gone Days","스트레이키즈","방찬(3RACHA)","방찬(3RACHA),TRIPPY","202001"
"54855","왜이렇게난니가보고싶은지","유해준","유해준","유해준","202001"
"23482","Adore You","Harry Styles","ALLEN AMY ROSE,HULL THOMAS EDWARD PERCY,JOHNSON TYLER,STYLES HARRY EDWARD","ALLEN AMY ROSE,HULL THOMAS EDWARD PERCY,JOHNSON TYLER,STYLES HARRY EDWARD","202001"
"99692","양수리연가","원금순","이진호","손정우","202001"
"99688","여자의인생","뽕자매","황인성","송결","202001"
"54909","Go away go away(낭만닥터김사부2 OST)","찬열(EXO),펀치","펀치(PUNCH),지훈,전창엽","로코베리(ROCOBERRY)","202001"
"54892","민들레꽃(DANDELION)","AB6IX(에이비식스)","박우진,이대휘,임영민","배진표,이대휘,원영헌,노현","202001"
"54891","센치해","팔로알토(Feat.스월비)","SWERVY(스월비),PALOALTO","SWERVY(스월비),PALOALTO,BIG BANANA","202001"
"54890","비내리는고모령","조명섭","유호","박시춘","202001"
"54889","월식(My Tragedy)","태연","김부민","히치하이커,WHITTEMORE DAN,MINNITI, BIANCA MARIA,RUSSO, ELIZABETH","202001"
"54888","하루에도열두번","윤건","윤건,김상현","윤건","202001"
"23481","When We're Together(Olaf's Frozen Adventure OST)","Kristen Bell,Idina Menzel,Josh Gad,Jonathan Groff","ANDERSON, KATE","SAMSEL, ELYSSA LYNNE","202001"
"99699","내마음아나요","이윤경","연우 김명희","손정우","202001"
"68147","心分け","KK(上北健)","上北健","上北健","202001"
"68146","VOICE","テヨン","STY","BARTON FELICIA D,BENWARD AARON JEOFFREY,TISHLER MATTHEW","202001"
"68145","Happy Happy Party!(BanG Dream! OST)","Poppin'Party","中村航","藤永龍太郎(ELEMENTS GARDEN)","202001"
"54902","너를그리는시간(Drawing Our Moments)","태연","LAWRENCE LEE,조윤경,JOHANSSON MALIN CHRISTIN,WILEN HJALMAR JOHAN VIKTOR,SUNDQUIST DAN THORD RICKARD","LAWRENCE LEE,JOHANSSON MALIN CHRISTIN,WILEN HJALMAR JOHAN VIKTOR,SUNDQUIST DAN THORD RICKARD","202001"
"54901","어떤날엔(사랑의불시착OST)","김재환","김호경","1601,1601A","202001"
"54884","그냥괴물을살려두면안되는걸까","투모로우바이투게더","정수경,조은희,ADORA,HITMAN BANG,WONDERKID,신쿵(SHINKUNG),FONTANA MELANIE JOY,SCHULZ MICHEL","정수경,조은희,ADORA,HITMAN BANG,WONDERKID,신쿵(SHINKUNG),FONTANA MELANIE JOY,SCHULZ MICHEL","202001"
"54883","세레나데","창모","창모","창모","202001"
"54882","이때다","기리보이","기리보이(GIRIBOY)","기리보이(GIRIBOY)","202001"
"54881","Remember","케빈오","케빈오","케빈오","202001"
"54880","극","지코","ZICO","ZICO,POP TIME","202001"
"99698","쉼표","정성희","연우","손정우","202001"
"54900","Black Swan","방탄소년단","RM,PDOGG,RIGO AUGUST,VINCE NANTES,CLYDE KELLY","RM,PDOGG,RIGO AUGUST,VINCE NANTES,CLYDE KELLY","202001"
"54895","W.A.U","육성재","박우상","박우상","202001"
"54894","이노랜꽤오래된거야","솔라(마마무),케이시","솔라,케이시(KASSY)","조영수","202001"
"54876","사랑의바보","우연이","설운도","설운도","202001"
"54875","구찌걸(gucci girl)","나플라","NAFLA","NAFLA,IOAH","202001"
"54874","눈내리는어느날, 우리이별하던날","이우","최재혁,윤재희,이용민,박주성","최재혁,윤재희,이용민,박주성","202001"
"54873","London","백예린","백예린","백예린,구름이","202001"
"54858","바나나차차","모모랜드","로빈","로빈","202001"
