곡번호,곡제목,가수,작사가,작곡가
"50217","운명(2025)","먼데이키즈,이이경","",""
"50286","시작의아이","박다혜,마크툽(MAKTUB)","",""
"50445","한번더이별(첫사랑엔딩 X 이창섭)","이창섭","",""
"50052","뛰어(JUMP)","블랙핑크","",""
"64581","MR Soda Pop(KPop Demon Hunters OST)","Saja Boys","",""
"50288","보고싶지않은니가보고싶다","임창정","",""
"50104","멸종위기사랑","이찬혁","",""
"50355","참다행이야","배기성","",""
"88982","What It Sounds Like(KPop Demon Hunters OST)","HUNTR/X","",""
"50418","XOXZ","IVE(아이브)","",""
"50221","Say Yes","한만청","",""
"88983","Free(KPop Demon Hunters OST)","Rumi,Jinu","",""
"50314","Surf","NCT WISH","",""
"50391","돌림판","머쉬베놈(Feat.이박사)","",""
"50404","오프닝","고추잠자리","",""
"50216","그자리에, 그시간에","이창섭","",""
"50086","비비드라라러브","이찬혁","",""
"88143","여름이었다","H1-KEY(하이키)","",""
"64474","MR MY LOVE(2025)","이예은,아샤트리,전건호","",""
"50251","너만아니면돼","YENA(최예나)(Feat.미료(브라운아이드걸스))","",""
"50147","지박(地縛)","안예은","",""
"50289","오르막길","박보검(Feat.윤종신)","",""
"50313","0+0","한로로","",""
"50292","시간을달리네","한로로","",""
"50199","잘됐으면좋겠다","산들","",""
"50459","스즈메(SUZUME)","송소희","",""
"50408","나에게그대만이","이예준","",""
"50247","착하다는말이제일싫어","YENA(최예나)","",""
"64480","MR 이렇게좋아해본적이없어요(소녀의세계 X BOYNEXTDOOR)","BOYNEXTDOOR","",""
"50420","사랑의바보","송필근","",""
"50287","DANCING ALONE","KiiiKiii(키키)","",""
"73710","Lose My Mind(From F1® The Movie)","Don Toliver(Feat.Doja Cat)","",""
"64588","MR WICKED","ALLDAY PROJECT","",""
"50061","jellyous","아일릿(ILLIT)","",""
"50258","사랑은여섯줄","10cm","",""
"52914","かくれんぼ","PLAVE","",""
"50356","What You Want","CORTIS(코르티스)","",""
"52931","残酷な夜に輝け(劇場版 '鬼滅の刃 無限城編' OST)","LiSA","",""
"50245","낙인(괴력난신 X Hebi)","Hebi","",""
"52929","TAIDADA(TVアニメ 'ダンダダン' OST)","ずっと真夜中でいいのに。","",""
"50484","COLOR","NCT WISH","",""
"50376","Yukiakari(Korean ver.)","&TEAM","",""
"52905","Plazma(アニメ '機動戦士Gundam GQuuuuuuX' OST)","米津玄師","",""
"50224","청춘만화(후이cover)","이무진","",""
"50159","Ghost Girl","투모로우바이투게더","",""
"73620","From The Start","Laufey","",""
"50256","IE러니","염따","",""
"50005","태양은가득히","딘딘","",""
"50339","SHUT THAT","재쓰비(JAESSBEE)","",""
"50295","내일에서온티켓","한로로","",""
"52635","장마","하현상","",""
"50398","Love is Dangerous","터치드(TOUCHED)","",""
"50096","이제안녕!","조유리","",""
"52639","안녕(견우와선녀OST)","추영우","",""
"52923","えぶりでいホスト(TVアニメ 'えぶりでいホスト' OST)","えぶホスPlayers","",""
"50201","별(Star)","Halsoon","",""
"50403","CEREMONY","스트레이키즈","",""
"73645","Drive(From F1® The Movie)","Ed Sheeran","",""
"88167","그때그남자","지아","",""
"50433","떠나","PATEKO(Feat.준(JUNE),Chan(찬),THAMA)","",""
"50271","윽!","염따","",""
"44016","정류장","한로로","",""
"50160","Loveholic(첫사랑엔딩 X 츄(CHUU))","츄(Chuu)","",""
"50223","다섯글자예쁜말","이영은","",""
"88978","녹아버려요","박지현","",""
"50325","용의자","한로로","",""
"88161","안녕(2025)","전건호","",""
"50071","한잔의노래","조째즈","",""
"52924","天国(映画 '#真相をお話しします' OST)","Mrs. GREEN APPLE","",""
"50360","차차차","Vince(Feat.G-DRAGON)","",""
"50000","도망","한로로","",""
"50135","잊어야한다는마음으로","IU","",""
"50373","무지성댄스증후군","에라이","",""
"73778","DAISIES","Justin Bieber","",""
"50311","콜미","코요태","",""
"50158","Beautiful Strangers","투모로우바이투게더","",""
"50303","Easy Lover","정동원","",""
"50006","사랑을몰랐소","정수(Feat.중식이)","",""
"64490","MR 지금부터","Hebi","",""
"50394","몰러유","머쉬베놈","",""
"50249","지구소년","Dragon Pony(드래곤포니)","",""
"50171","그밤(The Night)","엔플라잉","",""
"52626","스물다섯, 스물하나","조째즈","",""
"50004","비오니까","이홍기","",""
"52898","火星人(アニメ '小市民シリーズ' OP)","ヨルシカ","",""
"85096","사라지네(Vocal.홍루)(림버스컴퍼니OST)","ProjectMoon(Vocal.홍루)","",""
"50299","눈꽃(첫사랑엔딩 X 정준일)","정준일","",""
"52922","騙シ愛(ドラマ 'キャスター' OST)","tuki.","",""
"50257","Echo","오월오일(五月五日)","",""
"50323","장례희망","이찬혁","",""
"64471","MR Black Sorrow(비비노스-에이스테OST)","박병훈","",""
"50371","부아앙~~","김뭉먕","",""
"64472","MR FOREVER(2024)","전건호,이예은","",""
"50471","순간을영원처럼","임영웅","",""
"50259","Monday Is Coming","10cm(Feat.빅나티(서동현))","",""
"50485","ICONIK","ZEROBASEONE(제로베이스원)","",""
